#Problema Carteiro N=82
#n average turn-around time and average slowndown (for 3 trials)
1 1.7331333955128987 1.0700564895973756e-09
2 1.9617329438527424 1.211196475258301e-09
3 2.5877251625061035 1.5976912609645411e-09
4 1.946679910024007 1.2019025489988686e-09
5 1.9249591827392578 1.188491918105936e-09
6 1.758111794789632 1.0854784200958149e-09
7 1.784393072128296 1.1017047790139271e-09
8 1.7469934622446697 1.0786138267935218e-09
9 2.135125001271566 1.3182506912376806e-09
10 2.120572566986084 1.3092658460758214e-09
